4/28 11:02:35.042  Loading Screen : Loading : Files Read 1438 : Bytes Read 239988238 : Elapsed MS 2022 : MBytes Per Sec 113.190
4/28 11:02:35.042  Loading Screen : XML Loaded 100%
4/28 11:02:36.387  Client : Load Map End
4/28 11:02:36.387  Start waiting for active player
4/28 11:02:36.428  Character Login SEND
4/28 11:02:37.895  Stop waiting for active player
4/28 11:02:37.913  Loading Screen : Loading : Files Read 2192 : Bytes Read 330086960 : Elapsed MS 2870 : MBytes Per Sec 109.685
4/28 11:02:37.913  Loading Screen : XML Loaded 100%
4/28 11:02:37.913  Loading Screen : World Loaded 100%
4/28 11:02:37.913  Loading Screen : Spell Loaded 0%
4/28 11:02:39.938  Active Player Created
4/28 11:02:39.938  Loading Screen Disable (0)
4/28 11:02:39.938  Loading Screen : Loading : Files Read 174 : Bytes Read 1807264 : Elapsed MS 2023 : MBytes Per Sec 0.852
4/28 11:02:39.938  Loading Screen : XML Loaded 100%
4/28 11:02:39.938  Loading Screen : World Loaded 100%
4/28 11:02:39.938  Loading Screen : Spell Loaded 100%
4/28 11:02:39.938  Spellbook : Make Models Local Begin : 111
4/28 11:02:39.938  Spellbook : Make Models Local End
4/28 11:14:21.410  Client Object Manager Destroyed
4/28 11:14:21.420  Nameplate Shutting Down
4/28 11:14:21.548  Loading Screen Disable (-1)
4/28 11:14:21.626  Loading Screen Disable (-1)
4/28 11:14:21.626  Client Destroy
