5/7 12:54:15.799  Wait Finished -- FileData ID 1510484
5/7 12:54:15.799  Wait Started -- FileData ID 131983
5/7 12:54:15.799  Wait Finished -- FileData ID 131983
5/7 12:54:15.799  Wait Started -- FileData ID 131990
5/7 12:54:15.799  Wait Finished -- FileData ID 131990
5/7 12:54:15.799  Wait Started -- FileData ID 1063509
5/7 12:54:15.799  Wait Finished -- FileData ID 1063509
5/7 12:54:15.799  Wait Started -- FileData ID 1063526
5/7 12:54:15.799  Wait Finished -- FileData ID 1063526
5/7 12:54:15.799  Wait Started -- FileData ID 1063510
5/7 12:54:15.799  Wait Finished -- FileData ID 1063510
5/7 12:54:15.799  Wait Started -- FileData ID 1063511
5/7 12:54:15.799  Wait Finished -- FileData ID 1063511
5/7 12:54:15.799  Wait Started -- FileData ID 1063513
5/7 12:54:15.799  Wait Finished -- FileData ID 1063513
5/7 12:54:15.799  Wait Started -- FileData ID 1063514
5/7 12:54:15.799  Wait Finished -- FileData ID 1063514
5/7 12:54:15.799  Wait Started -- FileData ID 1063515
5/7 12:54:15.799  Wait Finished -- FileData ID 1063515
5/7 12:54:15.799  Wait Started -- FileData ID 1063516
5/7 12:54:15.799  Wait Finished -- FileData ID 1063516
5/7 12:54:15.799  Wait Started -- FileData ID 1063520
5/7 12:54:15.799  Wait Finished -- FileData ID 1063520
5/7 12:54:15.799  Wait Started -- FileData ID 131989
5/7 12:54:15.799  Wait Finished -- FileData ID 131989
5/7 12:54:15.799  Wait Started -- FileData ID 131984
5/7 12:54:15.799  Wait Finished -- FileData ID 131984
5/7 12:54:15.799  Wait Started -- FileData ID 1063528
5/7 12:54:15.799  Wait Finished -- FileData ID 1063528
5/7 12:54:15.799  Wait Started -- FileData ID 1063529
5/7 12:54:15.799  Wait Finished -- FileData ID 1063529
5/7 12:54:15.799  Wait Started -- FileData ID 1063530
5/7 12:54:15.799  Wait Finished -- FileData ID 1063530
5/7 12:54:15.799  Wait Started -- FileData ID 1063533
5/7 12:54:15.799  Wait Finished -- FileData ID 1063533
5/7 12:54:15.799  Wait Started -- FileData ID 1063534
5/7 12:54:15.799  Wait Finished -- FileData ID 1063534
5/7 12:54:15.799  Wait Started -- FileData ID 1093182
5/7 12:54:15.799  Wait Finished -- FileData ID 1093182
5/7 12:54:15.799  Wait Started -- FileData ID 1127985
5/7 12:54:15.799  Wait Finished -- FileData ID 1127985
5/7 12:54:15.799  Wait Started -- FileData ID 1063523
5/7 12:54:15.799  Wait Finished -- FileData ID 1063523
5/7 12:54:15.799  Wait Started -- FileData ID 1127976
5/7 12:54:15.799  Wait Finished -- FileData ID 1127976
5/7 12:54:15.799  Wait Started -- FileData ID 1063522
5/7 12:54:15.799  Wait Finished -- FileData ID 1063522
5/7 12:54:15.799  Wait Started -- FileData ID 1063512
5/7 12:54:15.799  Wait Finished -- FileData ID 1063512
5/7 12:54:15.799  Wait Started -- FileData ID 1063532
5/7 12:54:15.799  Wait Finished -- FileData ID 1063532
5/7 12:54:15.799  Wait Started -- FileData ID 1063524
5/7 12:54:15.799  Wait Finished -- FileData ID 1063524
5/7 12:54:15.799  Wait Started -- FileData ID 1063525
5/7 12:54:15.815  Wait Finished -- FileData ID 1063525
5/7 12:54:15.815  Wait Started -- FileData ID 1063527
5/7 12:54:15.815  Wait Finished -- FileData ID 1063527
5/7 12:54:15.815  Wait Started -- FileData ID 1063531
5/7 12:54:15.815  Wait Finished -- FileData ID 1063531
5/7 12:54:17.497  Wait Started -- FileData ID 623714
5/7 12:54:17.497  Wait Finished -- FileData ID 623714
5/7 12:54:17.497  Wait Started -- FileData ID 623715
5/7 12:54:17.497  Wait Finished -- FileData ID 623715
5/7 12:54:17.497  Wait Started -- FileData ID 984454
5/7 12:54:17.502  Wait Finished -- FileData ID 984454
5/7 12:54:17.502  Wait Started -- FileData ID 984461
5/7 12:54:17.502  Wait Finished -- FileData ID 984461
5/7 12:54:17.502  Wait Started -- FileData ID 984462
5/7 12:54:17.502  Wait Finished -- FileData ID 984462
5/7 12:54:17.502  Wait Started -- FileData ID 984453
5/7 12:54:17.502  Wait Finished -- FileData ID 984453
5/7 12:54:17.502  Wait Started -- FileData ID 625033
5/7 12:54:17.502  Wait Finished -- FileData ID 625033
5/7 12:54:17.502  Wait Started -- FileData ID 984466
5/7 12:54:17.502  Wait Finished -- FileData ID 984466
5/7 12:54:17.502  Wait Started -- FileData ID 984463
5/7 12:54:17.502  Wait Finished -- FileData ID 984463
5/7 12:54:17.502  Wait Started -- FileData ID 625034
5/7 12:54:17.502  Wait Finished -- FileData ID 625034
5/7 12:54:17.502  Wait Started -- FileData ID 984468
5/7 12:54:17.502  Wait Finished -- FileData ID 984468
5/7 12:54:17.502  Wait Started -- FileData ID 984469
5/7 12:54:17.502  Wait Finished -- FileData ID 984469
5/7 12:54:17.502  Wait Started -- FileData ID 984459
5/7 12:54:17.502  Wait Finished -- FileData ID 984459
5/7 12:54:17.502  Wait Started -- FileData ID 984460
5/7 12:54:17.502  Wait Finished -- FileData ID 984460
