4/28 11:09:13.457  	DBReply Table TactKey RecID 251 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 112 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 109 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 301 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 259 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 297 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 234 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 302 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 111 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 285 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 110 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 249 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 108 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 107 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 299 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 290 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 288 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 278 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 284 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 246 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 237 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 229 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 295 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 73 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 260 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 232 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 95 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 243 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 230 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 261 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 287 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 296 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 104 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 231 invalid
4/28 11:09:13.457  	DBReply Table TactKey RecID 68 invalid
4/28 11:14:21.626  ---- Shutdown ----
